iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.3279078664395263,[14.5],[20.0],2,0.2190002355,0.409289981
2,9,1.4015573352240651,[19.0],[-1.0],2,0.309059384,0.009141624
3,11,1.3641518993642066,[22.0],[9.5],2,0.529211146,0.022572875
4,13,1.48345977086349,[10.0],[-3.0],2,0.02695975,0.009141561
5,15,1.4836497500132488,[11.5],[1.0],2,0.043037539,0.009312948
6,17,1.484286265761727,[12.0],[24.0],2,0.062408418,0.469757209
7,19,1.4719499192197212,[23.0],[7.0],2,0.57817537,0.011533
8,20,1.5556780263525127,[21.0],[-4.0],2,0.462519743,
