alpha,CD_p
-5,0.0119566511677775
-4,0.00924555238902669
-3,0.00744883104254641
-2,0.0061972611673842
-1,0.00563168034742535
0,0.00576565474898934
1,0.00660027151525856
2,0.00863832768248084
3,0.011302846012803
4,0.014402629249791
5,0.017674543682504
6,0.0213417556715981
7,0.0253949026670185
7.5,0.0274898781107972
8,0.0295232315558581
8.5,0.0314669806100569
9,0.0336264989962513
9.5,0.0358738783520876
10,0.0379272342559435
10.5,0.0398479497542399
11,0.0424893694882069
11.5,0.044694135597147
12,0.0471807540226509
12.5,0.0493169920047346
13,0.0531912612570493
13.5,0.0567792163012667
14,0.060389185936001
14.5,0.063576413334815
15,0.0690038531129562
16,0.191182337369479
17,0.204725834373087
18,0.203516987837261
19,0.210168644437124
20,0.223490233661485
21,0.305442815085722
22,0.315860872292841
23,0.342609025751122
24,0.372525154561204
25,0.39224282768664
