alpha,CD_p
-5,0.0125430010468918
-4,0.00974743820879035
-3,0.00768593037880346
-2,0.00631739140189343
-1,0.00574981772660031
0,0.0059425393711797
1,0.00691963992580061
2,0.00898562809859466
3,0.0118743277953638
4,0.015252824388407
5,0.0188832844242144
6,0.0228681795083432
7,0.0272556750755288
7.5,0.0295033737938549
8,0.0319108748310196
8.5,0.0340636644660399
9,0.036385584046496
9.5,0.039132337895581
10,0.0418604992520535
10.5,0.0446139999096229
11,0.0478771842579565
11.5,0.0512057517058082
12,0.0548638280560899
12.5,0.0583793579688912
13,0.0624287415042346
13.5,0.0664136363799101
14,0.0721666675866773
14.5,0.173840199380184
15,0.184762866531911
16,0.196388952337062
17,0.200640547015216
18,0.206367500388441
19,0.220673617906492
20,0.232964039808431
21,0.322151733640308
22,0.371890886889242
23,0.374605151428283
24,0.354410215615757
25,0.410430398319023
