alpha,CD_p
-5,0.0133612324997095
-4,0.0102506699767914
-3,0.00803684167512321
-2,0.00653948886417494
-1,0.00595102718065309
0,0.00618649831007793
1,0.00726351922013172
2,0.00952881693915935
3,0.0126816504732074
4,0.0162369527945772
5,0.0205956017213069
6,0.0249430263684379
7,0.0300406230889324
7.5,0.0330456045575534
8,0.0363594981467187
8.5,0.0401654474754209
9,0.0445287196199087
9.5,0.0502643116490797
10,0.056812987317367
10.5,0.0644490087486991
11,0.0727075997885333
11.5,0.0808175517779547
12,0.0916125936284421
12.5,0.101397865656232
13,0.111467843266428
13.5,0.139498250812365
14,0.166736840329075
14.5,0.179304192063481
15,0.19154576444111
16,0.221677917726914
17,0.237597809655067
18,0.238568752687179
19,0.290096135084677
20,0.333839194948249
21,0.35407692155768
22,0.383771047263308
23,0.380356095477741
24,0.385012995120548
25,0.439233201862056
