x1,y_high
25.0,-0.128762276
13.5,-0.055368586
13.0,-0.042304997
-5.0,-0.018470784
4.0,-0.006261957
17.0,-0.127965053
20.0,-0.100011986
18.0,-0.108976357
-1.0,-0.010036013
0.0,-0.008858113
8.0,-0.005859547
7.5,-0.006313968
23.0,-0.119402359
10.0,-0.001488323
10.5,-0.000194083
9.5,-0.002818676
-3.0,-0.01321337
9.0,-0.00427288
2.0,-0.007052275
6.0,-0.007271224
