iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.2427349140290402,[2.0],[-4.0],2,0.201095767,-0.442038016
2,9,1.1977455959024157,[1.5],[-1.0],2,0.149618374,-0.142972245
3,11,1.1878337990833574,[1.0],[4.0],2,0.116614953,0.520332775
