alpha,CA_p
-5,-0.036610127
-4,-0.019597746
-3,-0.006385507
-2,0.002585192
-1,0.007352475
0,0.007989823
1,0.005181727
2,-0.001842789
3,-0.014595543
4,-0.03044569
5,-0.049021081
6,-0.071673158
7,-0.097015571
7.5,-0.110819917
8,-0.125836459
8.5,-0.141159179
9,-0.156952387
9.5,-0.172267114
10,-0.187677286
10.5,-0.203779755
11,-0.217019057
11.5,-0.228627822
12,-0.238653145
12.5,-0.237510367
13,-0.208980485
13.5,-0.192287774
14,-0.185399592
14.5,-0.183885905
15,-0.185245261
16,-0.091439761
17,0.002365739
18,-0.00261104
19,-0.002405117
20,-0.007619314
21,0.020051327
22,0.040421101
23,0.024670963
24,0.008374946
25,-0.000417344
