alpha,CA_p
-5,0.031952744
-4.5,0.036674937
-4,0.0393405
-3.5,0.040863503
-3,0.042701559
-2.5,0.042896206
-2,0.042863029
-1.5,0.0412193
-1,0.040277649
-0.5,0.040216482
0,0.039220523
0.5,0.037471373
1,0.036169069
1.5,0.036309261
2,0.034700482
2.5,0.033996764
3,0.032053437
3.5,0.029759169
4,0.025577486
4.5,0.021453889
5,0.010482293
