alpha,CA_p
-5,-0.040288436
-4,-0.025080534
-3,-0.009669109
-2,0.001443116
-1,0.007392183
0,0.008311404
1,0.00472576
2,-0.003632564
3,-0.017841016
4,-0.03630724
5,-0.057733381
6,-0.075343228
7,-0.080117964
8,-0.078200987
9,-0.07997581
10,-0.088157795
11,-0.105794447
12,-0.103988249
13,-0.118358638
14,-0.131215919
15,-0.119060821
