alpha,CA_p
-5,0.022407727
-4.5,0.015897575
-4,0.00750183
-3.5,0.001677981
-3,0.001059073
-2.5,0.003088381
-2,0.006167935
-1.5,0.00914574
-1,0.010943403
-0.5,0.010991065
0,0.009626058
0.5,0.007269566
1,0.004557959
1.5,0.001000365
2,-0.001815573
2.5,-0.004190831
3,-0.005523365
3.5,-0.005782435
4,-0.004453931
4.5,-0.001944108
5,0.000659565
