alpha,CA_p
-5,0.053412177
-4.5,0.058163583
-4,0.062427338
-3.5,0.064477346
-3,0.06519436
-2.5,0.065311764
-2,0.065514277
-1.5,0.066382363
-1,0.067325625
-0.5,0.069889216
0,0.066508923
0.5,0.060340396
1,0.056632365
1.5,0.052436556
2,0.050899839
2.5,0.045995504
3,0.041315343
3.5,0.035054796
4,0.029551798
4.5,0.026894955
5,0.022717616
