alpha,CA_p
-5,-0.039398747
-4,-0.021491792
-3,-0.007496201
-2,0.002124854
-1,0.007304952
0,0.007932254
1,0.005010345
2,-0.002227153
3,-0.014833227
4,-0.031786465
5,-0.051613491
6,-0.074404334
7,-0.101370862
7.5,-0.115757886
8,-0.130888387
8.5,-0.145974496
9,-0.161489241
9.5,-0.176818712
10,-0.1913469
10.5,-0.203885455
11,-0.214168697
11.5,-0.218629391
12,-0.207296146
12.5,-0.191102676
13,-0.18388308
13.5,-0.184920097
14,-0.191988581
14.5,-0.100383739
15,-0.008778897
16,-0.002066164
17,0.009652488
18,0.020296836
19,-0.016801557
20,-0.002692446
21,-0.12280918
22,-0.160745743
23,-0.151714234
24,-0.006571801
25,-0.016073707
