alpha,CA_p
-5,-0.025281668
-4,-0.019515194
-3,-0.007607127
-2,0.002072188
-1,0.007719941
0,0.008422545
1,0.004224134
2,-0.005547014
3,-0.020872671
4,-0.036470266
5,-0.041426512
6,-0.040087884
7,-0.04091848
8,-0.050021456
9,-0.058451571
10,-0.067505601
11,-0.082280899
12,-0.106326761
13,-0.128769511
14,-0.144435973
15,-0.150628732
