Alpha,CL
-5,-0.560813733
-4.75,-0.530319897
-4.5,-0.499166857
-4.25,-0.467745464
-4,-0.436005474
-3.75,-0.403984915
-3.5,-0.371751883
-3.25,-0.339251871
-3,-0.306626787
-2.75,-0.273877375
-2.5,-0.240947073
-2.25,-0.207936315
-2,-0.174822847
-1.75,-0.141581248
-1.5,-0.108357007
-1.25,-0.074841216
-1,-0.040637049
-0.75,-0.006411609
-0.5,0.02719855
-0.25,0.060728185
0,0.094316979
0.25,0.127954395
0.5,0.161332534
0.75,0.194489777
1,0.227921763
1.25,0.261294528
1.5,0.294631945
1.75,0.327816552
2,0.360798674
2.25,0.393512298
2.5,0.425808676
2.75,0.458315322
3,0.49069965
3.25,0.523146295
3.5,0.555448143
3.75,0.587667996
4,0.619749342
4.25,0.65163883
4.5,0.683313355
4.75,0.714666851
5,0.745870166
5.25,0.77697526
5.5,0.807758124
5.75,0.838147861
6,0.867973137
6.25,0.89739066
6.5,0.926171197
6.75,0.954178331
7,0.981629444
7.25,1.008311787
7.5,1.034199913
7.75,1.054090757
8,1.079044705
8.25,1.102415083
8.5,1.124997863
8.75,1.146129899
9,1.164705968
9.25,1.181211836
9.5,1.195375225
9.75,1.20721222
10,1.214726733
10.25,1.219079447
10.5,1.218835766
10.75,1.214455389
11,1.203159018
11.25,1.180728557
11.5,1.140235105
11.75,1.078128704
12,0.986806689
12.25,0.917875659
12.5,0.873278806
12.75,0.851424214
13,0.844414255
13.25,0.841939721
13.5,0.842151529
13.75,0.842837746
14,0.845842971
14.25,0.85005085
14.5,0.855197024
14.75,0.86115748
15,0.865664608
