Alpha,CL
-5,-0.515747908
-4.75,-0.484935706
-4.5,-0.455959113
-4.25,-0.426770777
-4,-0.397952771
-3.75,-0.367823372
-3.5,-0.338118936
-3.25,-0.308316616
-3,-0.27839936
-2.75,-0.248406613
-2.5,-0.218345988
-2.25,-0.188202623
-2,-0.158011445
-1.75,-0.127775464
-1.5,-0.097482328
-1.25,-0.067144324
-1,-0.036776582
-0.75,-0.006379161
-0.5,0.024084747
-0.25,0.054487143
0,0.084897025
0.25,0.11527643
0.5,0.145649325
0.75,0.176021482
1,0.206379581
1.25,0.236734809
1.5,0.267064738
1.75,0.29736216
2,0.327610422
2.25,0.357815512
2.5,0.387918293
2.75,0.417991543
3,0.447994234
3.25,0.477938734
3.5,0.50778064
3.75,0.537558715
4,0.567569451
4.25,0.596708313
4.5,0.626180581
4.75,0.655393125
5,0.684491984
5.25,0.713734306
5.5,0.742561688
5.75,0.771160471
6,0.799568135
6.25,0.827648303
6.5,0.855351587
6.75,0.882560606
7,0.90930154
7.25,0.935553791
7.5,0.961195706
7.75,0.986277107
8,1.010608711
8.25,1.034107655
8.5,1.056676954
8.75,1.078223426
9,1.098553572
9.25,1.117619736
9.5,1.135124954
9.75,1.15075289
10,1.164465611
10.25,1.17577339
10.5,1.184411622
10.75,1.189872998
11,1.191353061
11.25,1.188060729
11.5,1.178247793
11.75,1.158082894
12,1.124250806
12.25,1.070001044
12.5,0.996186251
12.75,0.909835807
13,0.832874229
13.25,0.786945506
13.5,0.759713243
13.75,0.742145415
14,0.729534664
14.25,0.721890507
14.5,0.715527974
14.75,0.710834053
15,0.707633452
