iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,0.7071730141266445,[-4.0],[6.0],2,-0.024184392,-0.079818034
2,9,0.8130475142350005,[15.0],[16.0],2,-0.065673248,-0.051832718
3,11,0.8407888049392607,[14.5],[22.0],2,-0.056579943,-0.004974896
4,13,0.8210698065495113,[9.5],[3.0],2,-0.101662329,-0.017901141
5,15,0.8634127982996352,[9.0],[-2.0],2,-0.1106367,-0.000471117
6,17,0.9148529483740913,[8.0],[24.0],2,-0.1139401,0.006071963
7,19,0.971186125499635,[23.0],[2.0],2,-0.006109085,-0.005814653
8,20,0.9696257910578917,[21.0],[20.0],2,-0.003840707,
