iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.0063117399206907,[12.5],[19.0],2,0.02372069,0.222915337
2,9,1.0106468141633926,[8.0],[6.0],2,0.002677607,0.004152956
3,11,1.0049034528110599,[7.5],[22.0],2,0.003226192,0.332168786
4,13,1.0129569484582865,[23.0],[3.0],2,0.353244506,0.005190712
5,15,1.0141201219076759,[17.0],[16.0],2,0.21596778,0.1785060465
6,17,1.0233009951020915,[18.0],[-3.0],2,0.214278883,0.006322619
7,19,1.0237191455275079,[20.0],[2.0],2,0.238382867,0.005064921
8,20,1.0211577829450715,[21.0],[10.0],2,0.321266871,
