Alpha,CL
-5,-0.60650997
-4.75,-0.574414165
-4.5,-0.541479348
-4.25,-0.507877214
-4,-0.473828437
-3.75,-0.439358222
-3.5,-0.404565277
-3.25,-0.369496291
-3,-0.334340512
-2.75,-0.298931478
-2.5,-0.263243471
-2.25,-0.227280206
-2,-0.191071888
-1.75,-0.154592804
-1.5,-0.117814355
-1.25,-0.080590216
-1,-0.043568914
-0.75,-0.006451696
-0.5,0.030915846
-0.25,0.067985605
0,0.104915775
0.25,0.141674202
0.5,0.178268948
0.75,0.214761986
1,0.250940959
1.25,0.286843928
1.5,0.32265283
1.75,0.35842681
2,0.394057969
2.25,0.429506362
2.5,0.464794105
2.75,0.499962693
3,0.535003811
3.25,0.569786862
3.5,0.604505079
3.75,0.639084313
4,0.673355385
4.25,0.707452908
4.5,0.741347913
4.75,0.774974674
5,0.808161151
5.25,0.840312095
5.5,0.87204241
5.75,0.902828883
6,0.932497992
6.25,0.960386898
6.5,0.98606086
6.75,1.007976553
7,1.02515127
7.25,1.037207526
7.5,1.043839157
7.75,1.045348017
8,1.048427519
8.25,1.042556116
8.5,1.028387644
8.75,0.996581162
9,0.971540084
9.25,0.966893345
9.5,0.947564603
9.75,0.932059024
10,0.925438612
10.25,0.910711737
10.5,0.883302896
10.75,0.858101566
11,0.840507251
11.25,0.828465007
11.5,0.823011752
11.75,0.820406694
12,0.82167938
12.25,0.82369533
12.5,0.827065129
12.75,0.832500967
13,0.838845464
13.25,0.846316852
13.5,0.856442927
13.75,0.866235606
14,0.875023325
14.25,0.883527273
14.5,0.892572348
14.75,0.902514244
15,0.912839094
