Alpha,CL
-5,-0.547017415
-4.75,-0.514083196
-4.5,-0.483456195
-4.25,-0.452575473
-4,-0.422185751
-3.75,-0.390135913
-3.5,-0.35866292
-3.25,-0.327060398
-3,-0.295361331
-2.75,-0.263577334
-2.5,-0.231693982
-2.25,-0.199714072
-2,-0.167677851
-1.75,-0.135568216
-1.5,-0.10342097
-1.25,-0.071210643
-1,-0.038941734
-0.75,-0.006644603
-0.5,0.025780084
-0.25,0.058147822
0,0.090502573
0.25,0.1228299
0.5,0.155156106
0.75,0.187501785
1,0.219852804
1.25,0.252161564
1.5,0.284459112
1.75,0.316722375
2,0.348909588
2.25,0.381020377
2.5,0.413056561
2.75,0.444961469
3,0.476781315
3.25,0.508569282
3.5,0.540309616
3.75,0.572013798
4,0.603886778
4.25,0.63515551
4.5,0.666446107
4.75,0.697628331
5,0.728636487
5.25,0.759698417
5.5,0.790139818
5.75,0.820015441
6,0.848916511
6.25,0.876076905
6.5,0.900754788
6.75,0.922107605
7,0.93997792
7.25,0.954265154
7.5,0.964928688
7.75,0.972129301
8,0.975918738
8.25,0.976426827
8.5,0.973608964
8.75,0.968035186
9,0.952667184
9.25,0.937836685
9.5,0.905639244
9.75,0.894529547
10,0.871492155
10.25,0.865289597
10.5,0.856670961
10.75,0.859076724
11,0.846532854
11.25,0.848338538
11.5,0.846450829
11.75,0.850287449
12,0.83947456
12.25,0.822914828
12.5,0.799158336
12.75,0.780462339
13,0.765982497
13.25,0.755168923
13.5,0.748111552
13.75,0.741889378
14,0.737512909
14.25,0.734397366
14.5,0.732722574
14.75,0.731014546
15,0.72955151
