iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,0.5643772960897535,[7.0],[19.0],2,-0.104549386,-0.028956564
2,9,0.6542511021959444,[20.0],[-3.0],2,-0.028504137,-0.00913285
3,11,0.6567103206662035,[22.0],[16.0],2,-0.017849113,-0.037587451
4,13,0.6679567832822921,[15.0],[3.0],2,-0.033081167,-0.016744923
5,15,0.6426030739332261,[10.5],[10.0],2,-0.205121774,-0.19408449
6,17,0.9745447542591212,[11.0],[24.0],2,-0.212112767,-0.004591051
7,19,1.0629430887191624,[11.5],[-1.0],2,-0.208395078,0.004660715
8,20,1.10017155500331,[12.0],[4.0],2,-0.175544695,
