alpha,CL
-5,-0.578757382
-4,-0.449077734
-3,-0.317701981
-2,-0.186625366
-1,-0.055985446
0,0.072060764
1,0.201131054
2,0.328884683
3,0.457646331
4,0.585565532
5,0.714416427
6,0.831393389
7,0.924466946
7.5,0.957037583
8,0.97260109
8.5,0.97159562
9,0.955696222
9.5,0.922981699
10,0.922082009
10.5,0.891030817
11,0.886606331
11.5,0.907006835
12,0.949877122
12.5,0.997240626
13,1.025607568
13.5,1.022360631
14,0.916225879
14.5,0.962502841
15,1.001757396
16,1.004479707
17,1.033397942
18,0.986874874
19,1.012636043
20,1.005551842
21,1.01660362
22,1.008337694
23,1.000071768
24,0.881183137
25,0.94863957
