alpha,CL
-5,-0.542324754
-4,-0.419996027
-3,-0.296369156
-2,-0.173739201
-1,-0.051994072
0,0.067470386
1,0.188131054
2,0.309417154
3,0.427251288
4,0.548733427
5,0.666810927
6,0.782539183
7,0.897740225
7.5,0.950692764
8,1.002675127
8.5,1.047893285
9,1.092674518
9.5,1.132585236
10,1.1647621
10.5,1.184895824
11,1.193445942
11.5,1.172505288
12,1.077125925
12.5,0.965655582
13,0.901423611
13.5,0.88243902
14,0.898918677
14.5,0.885172547
15,0.871426417
16,0.850856818
17,0.775322093
18,0.747432899
19,0.760973121
20,0.751243362
21,0.979764048
22,1.046205635
23,0.947402972
24,0.821433911
25,0.858070574
