iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.0442424869569287,[13.5],[19.0],2,0.156888462,0.304162682
2,9,1.0539907654754035,[8.0],[6.0],2,0.021402189,0.007128076
3,11,1.050337003847267,[7.5],[22.0],2,0.015888427,0.3772262695
4,13,1.0344885550729577,[23.0],[3.0],2,0.388884429,0.006063099
5,15,1.0307566374283237,[24.0],[16.0],2,0.393161026,0.23003922
6,17,1.0241815834390298,[21.0],[-3.0],2,0.36556811,0.006549801
7,19,1.023072408460726,[20.0],[2.0],2,0.346782522,0.005670255
8,20,1.0264089637708897,[18.0],[-4.0],2,0.250434595,
