group,current_high_count,mae,rmse,r2
Baseline,40,7.536148720265919,9.980035363034217,0.9529183594731044
Baseline,42,7.5039128169646006,9.921815385608719,0.953457472996211
Baseline,44,7.4793024186185875,9.89415447038323,0.9537075816107317
Baseline,46,7.4098103339895,9.834036830846014,0.9542708721817664
Baseline,48,7.385273635600976,9.826749781333616,0.9543231961521537
Baseline,50,7.328076371206237,9.793191416770018,0.954643748392782
Baseline,52,7.27970406051478,9.73054025185171,0.9552388014240265
Baseline,54,7.247745566853294,9.704313085717118,0.9554837158430466
Baseline,56,7.206971285181349,9.657667821018467,0.9559136153916873
Baseline,58,7.193473865349434,9.655675998237943,0.9559254336225175
Baseline,60,7.144467851662216,9.594715269168734,0.9564715523552569
Baseline,62,7.1062106043777336,9.555979691662234,0.9568252019148049
Baseline,64,7.033075634233533,9.469596401907092,0.9575952551242839
Baseline,66,7.018892975247125,9.449470544656986,0.957771581667257
Baseline,68,7.01090948210268,9.426424667426755,0.9579725310855706
Baseline,70,6.9378159404859305,9.338107393214964,0.9587550557684732
Baseline,72,6.908647598376797,9.317950441015991,0.9589223487444659
Baseline,74,6.855181091923903,9.273150553078889,0.959308483441338
Baseline,76,6.808207750895427,9.23811572221591,0.9595971495650039
Baseline,78,6.748501735394655,9.180201165023115,0.9600860440307513
Baseline,80,6.729996556194561,9.151864881195285,0.9603340176017369
Baseline,82,6.6857742682908405,9.10231669404684,0.9607702345898954
Baseline,84,6.6202735033839675,9.036424242587831,0.9613252532433487
Baseline,86,6.59298967087296,9.00854260209456,0.9615726580732507
Baseline,88,6.5771867377709174,9.000270664661631,0.9616354608420539
Baseline,90,6.5462204295508455,8.97729346844533,0.9618202565296942
Baseline,92,6.5070443103079185,8.942330693366557,0.9621089252936039
Baseline,94,6.4693209327467285,8.899864682526722,0.9624559982038949
Baseline,96,6.414208608664462,8.848372559930509,0.9628757669473108
Baseline,98,6.353356926990745,8.794989797933733,0.9633029748507201
Baseline,100,6.333298058391558,8.765753429313481,0.9635457553943267
Baseline,102,6.287737579574829,8.705400901962497,0.9640584791573579
Baseline,104,6.233219311340414,8.646737583186141,0.9645513286011125
Baseline,106,6.198437277154104,8.620606504074026,0.9647646483997491
Baseline,108,6.160301046305281,8.576004807364196,0.965141827601888
Baseline,110,6.115135760597221,8.544186345422611,0.9653851540712699
Baseline,112,6.0818173430763975,8.521970586893044,0.9655668210593811
Baseline,114,6.029542997766965,8.469532460727319,0.9659836980954758
Baseline,116,5.989992392139735,8.422423724864762,0.9663745166977836
Baseline,118,5.941915128918909,8.381086549709039,0.9666924661284583
Baseline,120,5.91403678874677,8.351802846666537,0.9669258086128177
Baseline,122,5.892015546240276,8.337717167694509,0.9670493823650977
Baseline,124,5.842112697269739,8.281257060781886,0.9675004707887247
Baseline,126,5.805763253097088,8.236079917943163,0.967851008033984
Baseline,128,5.780609196619662,8.221494578059872,0.9679587155883919
Baseline,130,5.756358041361108,8.198781120863167,0.9681309914869466
Baseline,132,5.731964831311383,8.170926529513935,0.968347381578592
Baseline,134,5.7088017620290215,8.148243531890285,0.9685260501639628
Baseline,136,5.658582031041336,8.092270351283334,0.9689562377513132
Baseline,138,5.647541799779502,8.0773178193568,0.9690758438241227
Baseline,140,5.617517882398826,8.051141144282932,0.9692687833997002
Baseline,142,5.596289805547295,8.02988266608712,0.9694269192290459
Baseline,144,5.59492461934942,8.028071593964743,0.9694464276898168
Baseline,146,5.588092539883603,8.010656217668524,0.9695738211791746
Baseline,148,5.533584016435833,7.95361487273814,0.9700270286153847
Baseline,150,5.519905578824551,7.941898308633588,0.9701269739155036
Baseline,152,5.503230617178765,7.918575946455067,0.9702988902817612
Baseline,154,5.493042170056028,7.90643467160106,0.9703926041086998
Baseline,156,5.482554155420707,7.8972099842083425,0.9704625107038837
Baseline,158,5.468781219797717,7.8880177960320825,0.9705308952965405
Baseline,160,5.449130337227633,7.870121718192811,0.9706573437279135
Baseline,162,5.436329640511561,7.855907474637429,0.9707649406002854
Baseline,164,5.415612678202315,7.837693218210336,0.9709082002356855
Baseline,166,5.39572805785504,7.813588148790609,0.9710867957620334
Baseline,168,5.367142768036736,7.7947768215208155,0.9712224435243177
Baseline,170,5.346488022663982,7.7700586906647375,0.971403704072415
Baseline,172,5.3395752188193875,7.767595724605565,0.9714175894772797
Baseline,174,5.318013043816442,7.7455919232149055,0.9715817301646592
Baseline,176,5.3150883846702515,7.7405144887302155,0.9716197868209214
