group,seed,final_high_count,final_mae,final_rmse,final_r2,auc_mae,auc_rmse
B1,42,200,5.670604329066896,8.372706113053706,0.9669177337854609,1286.1675278504526,1684.705040662283
B1,142,200,5.978282266821347,9.383586548610868,0.9584471051315219,1317.1471236713392,1773.647930473741
B1,242,200,5.759148605629051,9.414052223382718,0.958176847691669,1293.64458688532,1815.252975846281
B1,342,200,6.073515402938247,9.404233586596895,0.9582640433402035,1307.5330782897793,1797.0226553548725
B1,442,200,6.327792050050226,10.150721037478712,0.9513752543689178,1338.561324549249,1889.863001762483
B2,42,200,6.99126283765884,8.783627705097734,0.963590778169529,1127.9324631362083,1421.3474183089586
B2,142,200,7.389273148037216,9.355741724416875,0.958693347089929,1190.4230143544096,1512.2905007861455
B2,242,200,7.190499801554282,9.46069111553441,0.9577614224916396,1177.6643635956377,1570.2963959301871
B2,342,200,7.2787480319118485,9.512872728375754,0.9572941933005494,1171.2618041889607,1535.3480208879241
B2,442,200,7.738489097126893,10.233076637330116,0.9505830416842606,1258.5569837054577,1682.0527832138791
B3,42,200,7.8121072427267775,10.494309701388596,0.9480277749340289,1496.9709155429741,1890.6301905667779
B3,142,200,7.773119717971107,10.796481559944002,0.9449917217502621,1556.2691975331443,1985.103995402464
B3,242,200,7.626989195920292,11.15740462320769,0.9412524278577421,1560.1433473361594,2033.7623583136256
B3,342,200,7.510677052350832,10.983541650771352,0.943069059336793,1495.6044358463691,2012.5071697564445
B3,442,200,7.9498070542608605,11.284756943279351,0.9399036665367241,1564.1058247223846,2066.7943077352916
B4,42,200,8.324035352122104,11.51013247857574,0.9374792467592152,1558.637855240243,2008.2334656209277
B4,142,200,9.130577899932659,11.88422193700413,0.9333492463714622,1674.1210420111465,2096.5256187899586
B4,242,200,8.863306175203133,12.334143531752186,0.9282070906524736,1721.2230454899418,2205.177516529453
B4,342,200,8.822251427281566,11.818241863494729,0.9340872692825025,1814.97351617927,2247.2626365199494
B4,442,200,9.458378552018596,12.800157435728885,0.9226795843961496,1781.9257006728353,2283.206567576306
Baseline,42,200,4.885712929578173,6.8458956458266345,0.977883107518642,937.396661493466,1246.63870598139
Baseline,142,200,5.219670414186741,7.505833561838356,0.9734134847619202,980.9057470724454,1336.3560324140212
Baseline,242,200,4.908627185838818,7.453933962138313,0.9737798821844613,956.1934767388334,1391.815949661257
Baseline,342,200,5.252414196542489,7.650676281874241,0.9723774855262621,981.1283011841941,1355.350174028532
Baseline,442,200,5.298757943144787,8.250394774861753,0.9678772279009575,1019.5018682994591,1489.1949986004395
