group,final_mae_mean,final_mae_std,final_rmse_mean,final_rmse_std,final_r2_mean,final_r2_std,auc_mae_mean,auc_mae_std,auc_rmse_mean,auc_rmse_std
Baseline,5.113036533858201,0.19921631570809173,7.541346845307859,0.5018108379686657,0.9730662375784487,0.003578837313756593,975.0252109576795,30.905272252797527,1363.8711721371278,88.11939842336686
B1,5.961868530901153,0.2610386274105043,9.34505990182458,0.6333063089762903,0.9586361968635547,0.00551566848371744,1308.610728249228,20.60796100071915,1792.0983208199323,74.14858981589963
B2,7.3176545832578155,0.27678716404818116,9.469201982150977,0.516809775738039,0.9575845565471817,0.004648680387955489,1185.1677257961348,47.27354340992267,1544.2670238254188,94.70179481116715
B3,7.734540052645974,0.1699461467799912,10.943298895718197,0.3111273721608739,0.9434489300831099,0.0031970237612624587,1534.6187441962063,35.10416881021282,1997.7596043549208,66.92599454854526
B4,8.919709881311611,0.4189680569948726,12.069379449311134,0.5035491660289398,0.9311604874923607,0.005786443337050598,1710.1762319186873,100.64336226321731,2168.0811610073188,113.54645110858536
