group,seed,current_high_count,mae,rmse,r2,rho
Baseline,42,40,7.36284730300816,9.435134247814302,0.9579893186733021,1.2845289978421015
Baseline,42,42,7.337749719482187,9.358689025874138,0.9586673176551647,1.2892385326903553
Baseline,42,44,7.328288020551548,9.322167380538652,0.9589892841458824,1.2915113493474724
Baseline,42,46,7.298697435842477,9.284361739805627,0.9593212439709429,1.2948139048876788
Baseline,42,48,7.271790372457198,9.237497124148858,0.9597308753215259,1.2995465374873356
Baseline,42,50,7.222233323342498,9.171932068404502,0.9603004836291907,1.3029534354503085
Baseline,42,52,7.2092596252895165,9.143274122610482,0.9605481804464977,1.3076311536126797
Baseline,42,54,7.16557500873615,9.110789725351808,0.9608280128066027,1.3077410309466113
Baseline,42,56,7.148936292539359,9.102618405090581,0.9608982467428266,1.3078640127371617
Baseline,42,58,7.1292435391948255,9.088599616349748,0.9610185938975814,1.308085674510937
Baseline,42,60,7.038268437728154,8.995200126209049,0.9618156662617663,1.309108861202879
Baseline,42,62,7.022190759688335,8.979184149192307,0.9619515198195356,1.310306746919628
Baseline,42,64,7.006332894164858,8.964875901264437,0.9620726830176173,1.310653284244113
Baseline,42,66,7.014932844275554,8.975887716762164,0.9619794513596547,1.3102525037103603
Baseline,42,68,7.016024494435969,8.975217452619994,0.961985129429554,1.3104556687599995
Baseline,42,70,6.909850478459542,8.866693442728641,0.9628988865107312,1.3116896555156614
Baseline,42,72,6.893220072297859,8.834347678845571,0.963169083048709,1.3156815872248326
Baseline,42,74,6.800416267734697,8.744793030135087,0.9639120155092987,1.3158968748135715
Baseline,42,76,6.756466151634209,8.70586841751284,0.9642325684381721,1.315668493768132
Baseline,42,78,6.6187664872627225,8.558046840395212,0.9654368850702958,1.31415431207753
Baseline,42,80,6.604220825923329,8.543805506447198,0.965551821414695,1.3154551446606229
Baseline,42,82,6.558561353461866,8.506819229478628,0.9658494293253103,1.3160022467963377
Baseline,42,84,6.462881485422481,8.408067427765195,0.9666377041873299,1.3163162216540913
Baseline,42,86,6.443470994487123,8.387617534434597,0.9667997927324459,1.316430915403838
Baseline,42,88,6.4159799924609935,8.360101562915917,0.9670172650969479,1.317660004356716
Baseline,42,90,6.378671676534594,8.305499982308858,0.9674466925113946,1.3178770220849947
Baseline,42,92,6.350008906709793,8.256570278573099,0.9678291214657352,1.3190790700438915
Baseline,42,94,6.2555744580330055,8.13945352607392,0.9687353153330681,1.3196377929188905
Baseline,42,96,6.137247771977795,8.034021389795818,0.9695400262678946,1.3175177769861737
Baseline,42,98,5.989280751203005,7.863623388095671,0.9708184088455791,1.3150013827834826
Baseline,42,100,5.969704124818058,7.827363223928984,0.9710869084035245,1.317116006334422
Baseline,42,102,5.909792524318811,7.761330212433464,0.9715726825279554,1.31901458724731
Baseline,42,104,5.899531372405275,7.753421587904661,0.9716305866320931,1.3190123071310924
Baseline,42,106,5.886218486517698,7.746729714224566,0.9716795360158864,1.3182822150745228
Baseline,42,108,5.8609572803069465,7.7297947538295855,0.9718032221971433,1.3179481909124655
Baseline,42,110,5.770328038277128,7.649862146405458,0.9723833640320054,1.3165210082184664
Baseline,42,112,5.738624270895705,7.628013889305923,0.9725408868007592,1.31511425524275
Baseline,42,114,5.651781934111013,7.555997990578224,0.9730569209907571,1.3137374336197765
Baseline,42,116,5.666541615812604,7.569378708983429,0.9729614109153567,1.3147072836287395
Baseline,42,118,5.623934531553547,7.5207163235001735,0.9733079473690391,1.3150432381557322
Baseline,42,120,5.616301658220103,7.504980121467722,0.9734195303837061,1.315206406031887
Baseline,42,122,5.642278709485623,7.5188190954167755,0.9733214127152011,1.3153743488243077
Baseline,42,124,5.574890396044903,7.485488017043344,0.9735574218793375,1.314065717360564
Baseline,42,126,5.535703372105028,7.431429011596212,0.9739379709649241,1.315117051060495
Baseline,42,128,5.470356617643225,7.387433536330005,0.9742456418780706,1.3138974154050682
Baseline,42,130,5.402873435719582,7.333299717634646,0.9746217057943256,1.3127546839091173
Baseline,42,132,5.373265674130487,7.316908731388475,0.9747350273289163,1.311478028860454
Baseline,42,134,5.340335612489778,7.294110147052447,0.9748922271109869,1.3108152031049556
Baseline,42,136,5.257926874659118,7.234417080323312,0.9753014962898127,1.3098442026283426
Baseline,42,138,5.255212908226438,7.242746484260123,0.9752445899094836,1.3089912495034186
Baseline,42,140,5.204935377859622,7.20200027258813,0.9755223441680819,1.3095041979546667
Baseline,42,142,5.185192506715762,7.183128298797043,0.9756504575895246,1.3108106639952137
Baseline,42,144,5.2134967879423755,7.205720332308786,0.975497050678685,1.3104584744082348
Baseline,42,146,5.221219141641703,7.177292890206479,0.9756900035388419,1.3131419510675277
Baseline,42,148,5.206898391799926,7.165056289621518,0.9757728253327955,1.3139899334355374
Baseline,42,150,5.245175411132346,7.184857538186552,0.9756387325431816,1.3153092060389227
Baseline,42,152,5.2265030776298556,7.139733265356831,0.975943771985508,1.318809147479108
Baseline,42,154,5.206671706071577,7.111166927552493,0.9761358866086308,1.3205292110701192
Baseline,42,156,5.189533538605454,7.101237914350123,0.9762024809327055,1.3212583176005395
Baseline,42,158,5.180847889714603,7.095200887169727,0.9762429260503428,1.3217666087559223
Baseline,42,160,5.1442144283497,7.062904669768052,0.9764587106085949,1.3212301895741738
Baseline,42,162,5.15317134973826,7.065615240151694,0.9764406379970496,1.3219876009846598
Baseline,42,164,5.16433923038281,7.06669813470293,0.9764334159055778,1.323041097228143
Baseline,42,166,5.153662405161648,7.052266388277586,0.97652957387718,1.3246422071804278
Baseline,42,168,5.114461892930864,7.025370266797819,0.9767082567665781,1.3236252591248423
Baseline,42,170,5.09560843865412,7.005648734102143,0.9768388418088038,1.3248998202163924
Baseline,42,172,5.087564596149881,6.997703825487165,0.9768913448531579,1.3255172400620001
Baseline,42,174,5.089110946819261,6.998444506837948,0.9768864526610398,1.3260455250796908
Baseline,42,176,5.101547630993886,7.0057833472052575,0.9768379517198346,1.326315744673349
Baseline,42,178,5.051620145172842,6.962390672364902,0.9771239870085295,1.325600209436528
Baseline,42,180,4.979362708077266,6.911591797150209,0.9774565843663516,1.3242597562279972
Baseline,42,182,4.9640443683665865,6.904360469536836,0.9775037322734186,1.3238553943233418
Baseline,42,184,4.928631647852038,6.878370987410346,0.9776727749954169,1.3232195868632803
Baseline,42,186,4.915442702584383,6.868847145234472,0.977734561065243,1.322973995889556
Baseline,42,188,4.876419139894543,6.842614468564673,0.9779043033000333,1.3222684062491608
Baseline,42,190,4.876807854233936,6.8419716062199925,0.9779084548781176,1.3224501772333817
Baseline,42,192,4.897913650504946,6.864416668538106,0.9777632746738723,1.322509091964449
Baseline,42,194,4.889016506559571,6.847733011719788,0.9778712340460515,1.3244968780132629
Baseline,42,196,4.894672835973223,6.848322776488176,0.9778674221776543,1.3251443504869314
Baseline,42,198,4.885264443854127,6.8445244278427815,0.9778919665620929,1.3252775767853142
Baseline,42,200,4.885712929578173,6.8458956458266345,0.977883107518642,1.3250789383834212
B2,42,40,7.364679219059523,9.441979348759888,0.9579283398550635,1.2845289978421015
B2,42,42,7.300874706152686,9.32703589298605,0.9589464371749798,1.2892385326903553
B2,42,44,7.271759784096672,9.274926622211172,0.9594038805241036,1.2915113493474724
B2,42,46,7.2317423415042095,9.203210142865876,0.9600292557829951,1.2948139048876788
B2,42,48,7.179896898186277,9.108904252215877,0.9608442243731851,1.2995465374873356
B2,42,50,7.146275385074938,9.047344519411723,0.961371680580899,1.3029534354503085
B2,42,52,7.102904680725742,8.971675660579116,0.962015126296109,1.3076311536126797
B2,42,54,7.1019520984156435,8.970023252816377,0.9620291171540861,1.3077410309466113
B2,42,56,7.100889084493605,8.968180635436848,0.9620447154687185,1.3078640127371617
B2,42,58,7.09897311343437,8.964877835077438,0.9620726666550157,1.308085674510937
B2,42,60,7.090158930250386,8.94993837564536,0.9621989688207323,1.309108861202879
B2,42,62,7.080089278207722,8.933090303113612,0.9623411541714855,1.310306746919628
B2,42,64,7.077275843975182,8.928346010434648,0.9623811441719974,1.310653284244113
B2,42,66,7.080531311621483,8.93383820115749,0.962334848144077,1.3102525037103603
B2,42,68,7.078876151223138,8.931044331826605,0.9623584024229384,1.3104556687599995
B2,42,70,7.069052298223852,8.91450619968011,0.9624976796030902,1.3116896555156614
B2,42,72,7.040026335201618,8.866119436227649,0.9629036900129931,1.3156815872248326
B2,42,74,7.038496316656536,8.863733608374336,0.962923652185188,1.3158968748135715
B2,42,76,7.0401193885526645,8.866265280954133,0.9629024695589441,1.315668493768132
B2,42,78,7.050958815729608,8.883704226133588,0.9627563927137425,1.31415431207753
B2,42,80,7.041635630584905,8.868653710392861,0.9628824799093316,1.3154551446606229
B2,42,82,7.037747452828814,8.86257426274752,0.9629333504664085,1.3160022467963377
B2,42,84,7.035580079734097,8.85915250989851,0.9629619670794634,1.3163162216540913
B2,42,86,7.034791712441958,8.857914786153591,0.9629723156202245,1.316430915403838
B2,42,88,7.026574519547117,8.845062632286163,0.9630796863213059,1.317660004356716
B2,42,90,7.025145128204488,8.842871712039685,0.9630979743646937,1.3178770220849947
B2,42,92,7.017764013899191,8.831163534408471,0.9631956280362981,1.3190790700438915
B2,42,94,7.014655981392827,8.825968379979365,0.9632389174975047,1.3196377929188905
B2,42,96,7.027511302794046,8.846511273930457,0.9630675917356687,1.3175177769861737
B2,42,98,7.044867264790153,8.873808590593919,0.9628393184594559,1.3150013827834826
B2,42,100,7.030157572736559,8.850658058322944,0.963032959636308,1.317116006334422
B2,42,102,7.018123588978391,8.831773211083872,0.9631905461370435,1.31901458724731
B2,42,104,7.018136303578455,8.831794807521959,0.9631903661156493,1.3190123071310924
B2,42,106,7.022492749163721,8.838844136531144,0.9631315815124538,1.3182822150745228
