Alpha,CL
-5,-0.550955494
-4.75,-0.529043813
-4.5,-0.507396496
-4.25,-0.482831065
-4,-0.456408318
-3.75,-0.426204961
-3.5,-0.394382207
-3.25,-0.360672677
-3,-0.325944364
-2.75,-0.290814205
-2.5,-0.255525919
-2.25,-0.220166167
-2,-0.184767574
-1.75,-0.149337534
-1.5,-0.113869112
-1.25,-0.078353844
-1,-0.042793148
-0.75,-0.007213344
-0.5,0.028481715
-0.25,0.064090337
0,0.099709536
0.25,0.1352868
0.5,0.170887042
0.75,0.20651848
1,0.242178854
1.25,0.27782229
1.5,0.313465652
1.75,0.349123196
2,0.384739972
2.25,0.420325605
2.5,0.455854209
2.75,0.491264849
3,0.526478342
3.25,0.561006171
3.5,0.594234212
3.75,0.625791615
4,0.656083275
4.25,0.684124749
4.5,0.710582995
4.75,0.734927375
5,0.756167882
5.25,0.773998658
5.5,0.785979451
5.75,0.793255058
6,0.794605605
6.25,0.790540796
6.5,0.783205411
6.75,0.759374572
7,0.752310893
7.25,0.742129742
7.5,0.743945232
7.75,0.728915315
8,0.727561791
8.25,0.720588625
8.5,0.701002542
8.75,0.694072818
9,0.692351998
9.25,0.690554601
9.5,0.689440709
9.75,0.689989212
10,0.694388326
10.25,0.696473558
10.5,0.704370775
10.75,0.70579353
11,0.707092741
11.25,0.708556478
11.5,0.710475739
11.75,0.711861363
12,0.713243222
12.25,0.714673637
12.5,0.717006962
12.75,0.719381249
13,0.720604382
13.25,0.722842469
13.5,0.724954967
13.75,0.727377379
14,0.729086495
14.25,0.73122387
14.5,0.732899071
14.75,0.734823244
15,0.736971507
