Alpha,CL
-5,-0.605888329
-4.75,-0.588852552
-4.5,-0.568591766
-4.25,-0.544277923
-4,-0.516205349
-3.75,-0.484458911
-3.5,-0.449423448
-3.25,-0.412105927
-3,-0.373392175
-2.75,-0.334017776
-2.5,-0.294136384
-2.25,-0.25393991
-2,-0.213648904
-1.75,-0.173112695
-1.5,-0.132181287
-1.25,-0.090992895
-1,-0.049094834
-0.75,-0.007260118
-0.5,0.034034412
-0.25,0.075184359
0,0.116108237
0.25,0.156838553
0.5,0.197612989
0.75,0.238233292
1,0.278657914
1.25,0.318877086
1.5,0.358979685
1.75,0.399018269
2,0.439034799
2.25,0.478995905
2.5,0.518966092
2.75,0.558714552
3,0.598300322
3.25,0.637035337
3.5,0.674168225
3.75,0.709034414
4,0.740665134
4.25,0.768416774
4.5,0.792611099
4.75,0.81254948
5,0.827039822
5.25,0.837132379
5.5,0.837539587
5.75,0.836327646
6,0.82913401
6.25,0.817549724
6.5,0.808912987
6.75,0.801280978
7,0.787463064
7.25,0.776742571
7.5,0.773723144
7.75,0.768295999
8,0.764435318
8.25,0.767090213
8.5,0.768799864
8.75,0.769328502
9,0.770312774
9.25,0.772905333
9.5,0.777545293
9.75,0.782666816
10,0.787857808
10.25,0.793870893
10.5,0.801329852
10.75,0.809987244
11,0.819305079
11.25,0.829332037
11.5,0.839935853
11.75,0.850178939
12,0.861235668
12.25,0.8731149
12.5,0.885562557
12.75,0.898837083
13,0.912754001
13.25,0.927025952
13.5,0.942530518
13.75,0.957951636
14,0.973425257
14.25,0.989365798
14.5,1.006204133
14.75,1.023803614
15,1.04231875
