iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.0650132576755078,[-4.0],[11.0],2,-0.025080534,-0.105794447
2,9,1.0551372129024426,[10.0],[4.0],2,-0.088157795,-0.03630724
3,11,1.0266395518970732,[9.0],[2.0],2,-0.07997581,-0.003632564
