alpha,CD_p
-5,0.078544925
-4.5,0.070536817
-4,0.06333518
-3.5,0.056354777
-3,0.047675199
-2.5,0.037059063
-2,0.026754969
-1.5,0.01837007
-1,0.013087405
-0.5,0.010295134
0,0.011313
0.5,0.015805903
1,0.023097774
1.5,0.031636576
2,0.039178251
2.5,0.045492918
3,0.051407611
3.5,0.057681283
4,0.063796621
4.5,0.070750037
5,0.078984205
