alpha,CD_p
-5,0.045669633
-4,0.029583026
-3,0.016588868
-2,0.009483651
-1,0.007114736
0,0.006661478
1,0.006726434
2,0.009971356
3,0.019986481
4,0.034388689
5,0.048998656
6,0.063751809
7,0.081179292
8,0.103175966
9,0.121855196
10,0.146610339
11,0.174254711
12,0.194843292
13,0.221732481
14,0.250502778
15,0.275932872
