alpha,CD_p
-5,0.135461215
-4.5,0.125672313
-4,0.117155716
-3.5,0.110271786
-3,0.104808032
-2.5,0.100686526
-2,0.097779017
-1.5,0.095242177
-1,0.091904853
-0.5,0.088526473
0,0.086407507
0.5,0.085271633
1,0.084478839
1.5,0.084366148
2,0.086270273
2.5,0.091363445
3,0.098223903
3.5,0.106553318
4,0.116225908
4.5,0.127099161
5,0.140595009
