alpha,CD_p
-5,0.019318446
-4,0.010162601
-3,0.007101669
-2,0.006544285
-1,0.006252829
0,0.006047961
1,0.005974926
2,0.006281629
3,0.007269021
4,0.010530403
5,0.018097068
6,0.029831016
7,0.047684443
8,0.06987363
9,0.095701104
10,0.115809556
11,0.141364928
12,0.16160666
13,0.181237335
14,0.201098315
15,0.223465656
