alpha,CD_p
-5,0.007746682
-4,0.006758387
-3,0.006322619
-2,0.005890371
-1,0.005503389
0,0.005162798
1,0.004876368
2,0.005064921
3,0.005190712
4,0.00516604
5,0.00478497
6,0.004152956
7,0.003552665
7.5,0.003226192
8,0.002677607
8.5,0.002276365
9,0.001893273
9.5,0.001939358
10,0.002157815
10.5,0.002478443
11,0.004666995
11.5,0.007602309
12,0.013356672
12.5,0.02372069
13,0.062330055
13.5,0.090801829
14,0.111684669
14.5,0.127261378
15,0.141044313
16,0.1785060465
17,0.21596778
18,0.214278883
19,0.222915337
20,0.238382867
21,0.321266871
22,0.332168786
23,0.353244506
24,0.379888741
25,0.398103648
