alpha,CD_p
-5,0.120259759
-4.5,0.113105752
-4,0.10725903
-3.5,0.102589839
-3,0.099786044
-2.5,0.0981562
-2,0.096767436
-1.5,0.095874109
-1,0.096332953
-0.5,0.089909505
0,0.089825309
0.5,0.093801013
1,0.093374691
1.5,0.093686491
2,0.094478117
2.5,0.095744259
3,0.095208706
3.5,0.101681589
4,0.110601331
4.5,0.118802608
5,0.129638798
