alpha,CL_p
-5,-0.598336665
-4,-0.491529636
-3,-0.354967431
-2,-0.210318148
-1,-0.06778785
0,0.072222428
1,0.213082558
2,0.356314298
3,0.498960347
4,0.630166609
5,0.746057354
6,0.808603319
7,0.775056517
8,0.725761834
9,0.745776137
10,0.839273672
11,0.907338745
12,0.931338294
13,0.984473786
14,1.015735616
15,1.024695571
