alpha,CL_p
-5,-0.542319417
-4,-0.420051337
-3,-0.296454812
-2,-0.173819612
-1,-0.052040221
0,0.067470386
1,0.188186382
2,0.309531693
3,0.427351338
4,0.548787059
5,0.666902221
6,0.782774991
7,0.89812759
7.5,0.951156265
8,1.003198011
8.5,1.048481318
9,1.09332931
9.5,1.133193571
10,1.165237478
10.5,1.185121126
11,1.193053652
11.5,1.170464894
12,1.070524427
12.5,0.952283176
13,0.882620313
13.5,0.859374185
14,0.872659643
14.5,0.8751879755
15,0.877716308
16,0.860647812
17,0.78632808
18,0.762733819
19,0.764930404
20,0.76007148
21,0.945190741
22,0.992675615
23,0.885849086
24,0.820628268
25,0.842724139
