alpha,CL_p
-5,-0.565481668
-4.5,-0.498394153
-4,-0.434925098
-3.5,-0.376267678
-3,-0.322651224
-2.5,-0.284135993
-2,-0.250842328
-1.5,-0.210178307
-1,-0.141389823
-0.5,-0.057565471
0,0.019574396
0.5,0.075898263
1,0.115158134
1.5,0.147460451
2,0.198205715
2.5,0.27955072
3,0.360818757
3.5,0.438286326
4,0.513476063
4.5,0.585476405
5,0.662825949
