alpha,CL_p
-5,-0.547794948
-4.5,-0.55500074
-4,-0.569045293
-3.5,-0.569830706
-3,-0.542629472
-2.5,-0.477154128
-2,-0.373040805
-1.5,-0.245389564
-1,-0.117680838
-0.5,0.009255254
0,0.134835068
0.5,0.263453413
1,0.371830451
1.5,0.447783566
2,0.4940696
2.5,0.517545316
3,0.531863556
3.5,0.543857657
4,0.549148674
4.5,0.556943927
5,0.584206881
