alpha,CL_p
-5,-0.617537203
-4,-0.555965806
-3,-0.404377885
-2,-0.240149324
-1,-0.077784182
0,0.084657246
1,0.248907422
2,0.415683513
3,0.573818209
4,0.688142477
5,0.682800052
6,0.645441002
7,0.645385153
8,0.721098888
9,0.792464145
10,0.843707092
11,0.896167947
12,0.92903002
13,0.971193186
14,1.018389443
15,1.06157936
