alpha,CL_p
-5,-0.339782735
-4.5,-0.270521769
-4,-0.202593211
-3.5,-0.143773287
-3,-0.108810639
-2.5,-0.086566368
-2,-0.058548648
-1.5,-0.02738677
-1,0.023298608
-0.5,-0.043207478
0,-0.20309512
0.5,-0.186807436
1,-0.103547273
1.5,-0.025583653
2,0.044714678
2.5,0.118481279
3,0.187777474
3.5,0.326022295
4,0.42318188
4.5,0.467947513
5,0.533059713
