iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,0.7048805091368682,[20.0],[7.0],2,-0.007619314,-0.097015571
2,9,0.7464290752475974,[19.0],[4.0],2,-0.002405117,-0.03044569
3,11,0.7502165740874733,[17.0],[10.5],2,0.002365739,-0.203779755
4,13,0.8754916153742639,[10.0],[-3.0],2,-0.187677286,-0.006385507
5,15,0.9419799663310124,[9.0],[2.0],2,-0.156952387,-0.001842789
6,17,0.9777714718944261,[8.5],[24.0],2,-0.141159179,0.008374946
7,19,1.0012740553347013,[23.0],[12.5],2,0.024670963,-0.237510367
8,20,1.0118215520419005,[12.0],[-2.0],2,-0.238653145,
