alpha,CD（尾耙原始）
-5,0.021564655
-4,0.012735863
-3,0.010255194
-2,0.009758734
-1,0.009447843
0,0.009205404
1,0.009443097
2,0.009996414
3,0.009995123
4,0.012124564
5,0.01834853
6,0.029946492
7,0.04780251
8,0.069444989
9,0.090532547
10,0.101282856
11,0.108998658
12,0.133799664
13,0.150888486
14,0.168685769
15,0.208229331
