alpha,CD（尾耙原始）
-5,0.009825524
-4,0.009260211
-3,0.009141561
-2,0.009175255
-1,0.009141624
0,0.008865754
1,0.009312948
2,0.009695574
3,0.008861708
4,0.008318594
5,0.008577751
6,0.010031509
7,0.011533
7.5,0.01244832
8,0.013732597
8.5,0.014825993
9,0.016697918
9.5,0.022572875
10,0.02695975
10.5,0.032851282
11,0.042662665
11.5,0.043037539
12,0.062408418
12.5,0.090202133
13,0.110609078
13.5,0.126794728
14,0.13944105
14.5,0.2190002355
15,0.298559421
16,0.288439837
17,0.297413279
18,0.320572026
19,0.309059384
20,0.409289981
21,0.462519743
22,0.529211146
23,0.57817537
24,0.469757209
25,0.500294506
