alpha,CD（尾耙原始）
-5,0.009744785
-4,0.009365663
-3,0.009231657
-2,0.008768524
-1,0.008814211
0,0.008748655
1,0.009232447
2,0.009682559
3,0.008344574
4,0.008137975
5,0.009089635
6,0.010081851
7,0.011469715
7.5,0.012316381
8,0.013220186
8.5,0.014150917
9,0.015519909
9.5,0.01749068
10,0.019885946
10.5,0.022751446
11,0.026700613
11.5,0.032338208
12,0.039318841
12.5,0.051140428
13,0.085756525
13.5,0.11280144
14,0.132942407
14.5,0.149916578
15,0.165959598
16,0.23182509
17,0.297690582
18,0.299962723
19,0.317108525
20,0.334890724
21,0.373267591
22,0.436794532
23,0.450026763
24,0.467431714
25,0.488485664
