alpha,CD（尾耙原始）
-5,0.105153397
-4.5,0.093804847
-4,0.079976913
-3.5,0.066764116
-3,0.055515224
-2.5,0.043257213
-2,0.031185287
-1.5,0.021665403
-1,0.015789265
-0.5,0.012780885
0,0.013361152
0.5,0.017852062
1,0.026114997
1.5,0.034814237
2,0.042996242
2.5,0.0498064
3,0.05662822
3.5,0.064051413
4,0.072310056
4.5,0.081395221
5,0.092097095
