alpha,CD（尾耙原始）
-5,0.050606053
-4,0.032564037
-3,0.019420736
-2,0.012620461
-1,0.010022246
0,0.009342545
1,0.009743411
2,0.012903318
3,0.021606347
4,0.035389369
5,0.05087632
6,0.066178651
7,0.081209106
8,0.091074675
9,0.105372518
10,0.122488214
11,0.139160322
12,0.145584553
13,0.158912702
14,0.181462811
15,0.214722656
