alpha,CD（尾耙原始）
-5,0.0287785532987339
-4,0.0193640369995922
-3,0.0135832356725952
-2,0.0104584611790989
-1,0.00907824626065028
0,0.00842254524539848
1,0.00856891146834553
2,0.00896681781999653
3,0.00920084654147177
4,0.011671368784531
5,0.0183868204871129
6,0.0279256511906621
7,0.0386586057577089
8,0.051844675481212
9,0.0676925180428292
10,0.0822232139571342
11,0.0934303224258618
12,0.0933545533067405
13,0.0986227018968095
14,0.113567810841461
15,0.138382655606779
