alpha,CD（尾耙原始）
-5,0.00789802372371189
-4,0.00782471069279568
-3,0.008025561060603
-2,0.00819325537857405
-1,0.00821362428827913
0,0.00793225420627833
1,0.00829494817036454
2,0.00857657449103474
3,0.00753770772302348
4,0.00650709438801948
5,0.0065277505692986
6,0.00743400879130819
7,0.00809649995340934
7.5,0.00840432027259866
8,0.00874209679330764
8.5,0.00901299290404046
9,0.00956041774146531
9.5,0.0102523750849965
10,0.0110802498165203
10.5,0.0122497823361706
11,0.0138051645003574
11.5,0.0154405392395256
12,0.0170229183555344
12.5,0.0183381325525716
13,0.01939007801845
13.5,0.0216802280202566
14,0.0262595502418209
14.5,0.218214422145175
15,0.224409421407947
16,0.241829837251792
17,0.247133279245981
18,0.264197026437432
19,0.244254384187151
20,0.270564981059312
21,0.24454974255185
22,0.249324645769547
23,0.237332369811194
24,0.358532208966093
25,0.382389506046807
