alpha,CL_p
-5,-0.444159925092889
-4,-0.344350832990338
-3,-0.245174328670016
-2,-0.148318414571077
-1,-0.0545123126418043
0,0.0366258842716981
1,0.129407303493184
2,0.224182611290656
3,0.320182117180874
4,0.416159644719284
5,0.515534941000934
6,0.610816681126726
7,0.707227461066519
7.5,0.755191210070743
8,0.800727157756164
8.5,0.842893313211506
9,0.882255080217918
9.5,0.919317837295614
10,0.951578426386233
10.5,0.976006625826502
11,0.997989253920784
11.5,1.01996197357407
12,1.03847591566337
12.5,1.0675444718605
13,1.08120678815688
13.5,1.05761359116894
14,0.945489216704563
14.5,0.973418703008496
15,1.00785952812328
16,0.989775701087077
17,0.997457602992777
18,0.954312008268765
19,0.964979925991413
20,0.961324428672978
21,0.951576704429294
22,1.02824453297455
23,0.921751558870605
24,0.858335780559828
25,0.905930339295644
