alpha,CL_p
-5,-0.420532830469051
-4,-0.326542129757794
-3,-0.232497186157811
-2,-0.140328520349102
-1,-0.0509938756513336
0,0.0357803992209191
1,0.125019843013268
2,0.215669508410723
3,0.306313485093828
4,0.400023391639418
5,0.492005114003396
6,0.586877251209032
7,0.682022336378443
7.5,0.728198731143234
8,0.773424118460433
8.5,0.81514867587303
9,0.859110655394799
9.5,0.902360631062916
10,0.944531850111642
10.5,0.983801998002456
11,1.02240134556253
11.5,1.06269170875675
12,1.10166061012743
12.5,1.136788920589
13,1.170082181269
13.5,1.19993111189928
14,1.2155894825914
14.5,0.901689296653803
15,0.89892145595037
16,0.861509594267157
17,0.781770920783518
18,0.75542339663129
19,0.756909080058297
20,0.75394295338309
21,0.942016034256314
22,0.985216852109031
23,0.878591796907897
24,0.815022428126993
25,0.838686533396593
