iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,0.8524432150781802,[3.0],[20.0],2,0.427351338,0.76007148
2,9,0.8765345336700455,[21.0],[-2.0],2,0.945190741,-0.173819612
3,11,0.9032931596903793,[22.0],[8.5],2,0.992675615,1.048481318
4,13,0.9588743514840952,[8.0],[0.0],2,1.003198011,0.067470386
5,15,0.9861291313144697,[7.0],[17.0],2,0.89812759,0.78632808
6,17,1.0059350047631181,[16.0],[-4.0],2,0.860647812,-0.420051337
7,19,1.0111729762865862,[15.0],[11.0],2,0.877716308,1.193053652
8,20,1.0193305695929546,[10.5],[24.0],2,1.185121126,
