iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,0.853064303359354,[18.0],[0.0],2,0.767456026,0.071692871
2,9,0.8758693616645863,[20.0],[8.5],2,0.744521635,1.01719253
3,11,0.9352083658225596,[22.0],[-3.0],2,0.73479705,-0.278321995
4,13,0.9437971702017537,[23.0],[3.0],2,0.766723602,0.415652573
5,15,0.9557844177716139,[2.0],[10.5],2,0.301648765,1.185185842
6,17,0.9911305415501441,[11.0],[7.0],2,1.207951102,0.864398437
7,19,1.0292958601314055,[12.0],[16.0],2,1.227133337,0.8334962495
8,20,1.0291695174050068,[15.0],[-2.0],2,0.858894725,
