alpha,CA_p
-5,-0.0267230611479954
-4,-0.0134463455876682
-3,-0.00332312769091728
-2,0.00357591365810641
-1,0.00726663850193657
0,0.00790462086046414
1,0.00612303855686687
2,0.00115342392984232
3,-0.00868199844548248
4,-0.0207384550866228
5,-0.0350269014453174
6,-0.0526157381362265
7,-0.072500834749883
7.5,-0.0837753877304672
8,-0.095865897191722
8.5,-0.10840026451438
9,-0.121786927925276
9.5,-0.135116741197618
10,-0.148950310680364
10.5,-0.164298111496688
11,-0.178424177302085
11.5,-0.192192900298775
12,-0.208563059284319
12.5,-0.221631001797418
13,-0.235896297384047
13.5,-0.249668942088651
14,-0.262054038273965
14.5,-0.271729067440159
15,-0.277543279877666
16,-0.0153553198548841
17,0.00282270407426577
18,-0.000241035774301124
19,0.00140570582773429
20,-0.00275464658957601
21,0.022921090156544
22,0.0444965430407516
23,0.0304060253188262
24,0.0127973992461411
25,0.00273103989633181
