alpha,CA_p
-5,-0.0163839378661756
-4,-0.00934425115652084
-3,-0.00186444942401041
-2,0.00410743677980102
-1,0.00779302566358097
0,0.00842254524539848
1,0.00619546489446363
2,0.000363300489192725
3,-0.00966101997797938
4,-0.0215106297765439
5,-0.0326649430448133
6,-0.0439547505178645
7,-0.0541009567198191
8,-0.0563572145060311
9,-0.0596303023221398
10,-0.0662960228532494
11,-0.0784752871122923
12,-0.100663555835545
13,-0.121106735727223
14,-0.135168487329228
15,-0.13969383100564
