alpha,CA_p
-5,-0.0295000802202159
-4,-0.0169189831145056
-3,-0.00521592650480919
-2,0.00301026811913215
-1,0.00743457845579929
0,0.00831140446374209
1,0.0062018639875454
2,0.000789723179943448
3,-0.0091697428637081
4,-0.0227714362715924
5,-0.0396462422168037
6,-0.0570340350153142
7,-0.0736571834711446
8,-0.0882758532435812
9,-0.0957526565507222
10,-0.0945490060224892
11,-0.108337993607888
12,-0.104204899129948
13,-0.11756537477357
14,-0.129021407929412
15,-0.115890000663838
