alpha,CA_p
-5,-0.0308429191985018
-4,-0.0160675819172423
-3,-0.00476495914141522
-2,0.00299388023997957
-1,0.0072895725931956
0,0.00800394539647066
1,0.00600743551429586
2,0.000747794101420055
3,-0.00905110054204684
4,-0.0222423055369113
5,-0.0383426944495808
6,-0.056699196542729
7,-0.0781937717353724
7.5,-0.0900521358784836
8,-0.102201467165106
8.5,-0.113862755645109
9,-0.125406611696639
9.5,-0.135513839708284
10,-0.144023094813674
10.5,-0.150228785813914
11,-0.156177618622203
11.5,-0.162261675721735
12,-0.166152517785364
12.5,-0.174461482766367
13,-0.178088444155513
13.5,-0.1341044857082
14,-0.0374041992778123
14.5,-0.0456413573972438
15,-0.0494486825429314
16,-0.102514089974167
17,-0.149529533987248
18,-0.132560264996396
19,-0.138340941492453
20,-0.108161238030532
21,-0.1475709874237
22,-0.180225308151455
23,-0.175528159916656
24,-0.0205736949956404
25,-0.0540526997579085
