alpha,CA_p
-5,-0.0288193004301793
-4,-0.0149821561822087
-3,-0.00415246871041574
-2,0.00329315568342423
-1,0.00732315802634424
0,0.00793225420627833
1,0.00611220666070953
2,0.0010440940552762
3,-0.00851572612622785
4,-0.0214556381228239
5,-0.0364723733076543
6,-0.0541216584115408
7,-0.0753681560987051
7.5,-0.0870791556368609
8,-0.0994359834167211
8.5,-0.112126028766171
9,-0.125616444035886
9.5,-0.139618341897816
10,-0.154046774709198
10.5,-0.168332128530509
11,-0.182795563441781
11.5,-0.19818678875225
12,-0.214069496512281
12.5,-0.230064027940128
13,-0.246553280570887
13.5,-0.261544249520792
14,-0.271367203580371
14.5,-0.0116278423717522
15,-0.0131456344303879
16,-0.00141092224585567
17,0.0119228793678102
18,0.0236340505745714
19,-0.0128349813144952
20,0.00106499804435481
21,-0.119956785997166
22,-0.156449452087273
23,-0.147595015114236
24,-0.00321756036891322
25,-0.0134076802174852
