alpha,CA_p
-5,0.0567803260311281
-4.5,0.0601312621191096
-4,0.0625784197192051
-3.5,0.0640322510418342
-3,0.0655590958769579
-2.5,0.0665718350906292
-2,0.0671230251863046
-1.5,0.0680386458914918
-1,0.0684751055057398
-0.5,0.07042382297528
0,0.0665089276091758
0.5,0.0602829877597574
1,0.0572108596606698
1.5,0.0541709793367175
2,0.0538291010957021
2.5,0.0495130607107625
3,0.0435533513786466
3.5,0.0377551920637375
4,0.0352714709814599
4.5,0.0339867360267132
5,0.0316034422833746
