alpha,CA_p
-5,0.0416546105461582
-4.5,0.0427924623586925
-4,0.0427752987912583
-3.5,0.0428278809545866
-3,0.0442593796537793
-2.5,0.0445411390162991
-2,0.0444279247069869
-1.5,0.0423820135036241
-1,0.0408940053493276
-0.5,0.0403878352726854
0,0.0392205239781466
0.5,0.0374567111167018
1,0.0360359755282751
1.5,0.0357232629173519
2,0.0337536465496739
2.5,0.034096706827138
3,0.0340335167365393
3.5,0.0342905427861958
4,0.0332784961556654
4.5,0.0325923441843056
5,0.0251981917741989
