iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,7,1.3288868420056,[15.0],[20.0],2,0.165959598,0.334890724
2,9,1.3237533058670452,[11.0],[-1.0],2,0.026700613,0.008814211
3,11,1.3241444786071102,[10.0],[23.0],2,0.019885946,0.450026763
4,13,1.3033156272923008,[8.5],[-3.0],2,0.014150917,0.009231657
5,15,1.3033476529878225,[7.5],[1.0],2,0.012316381,0.009232447
6,17,1.303337379946626,[7.0],[18.0],2,0.011469715,0.299962723
7,19,1.2816121261225653,[17.0],[22.0],2,0.297690582,0.436794532
8,20,1.2789674849704376,[21.0],[12.5],2,0.373267591,
