alpha,CL
-5,-0.39846596185617
-4,-0.307868745634149
-3,-0.218786808458939
-2,-0.129469243515016
-1,-0.0441937487236066
0,0.0410437816361224
1,0.125327339830614
2,0.212788838662523
3,0.29983689962257
4,0.389458941713575
5,0.482487096203957
6,0.575160501082653
7,0.66212731390104
7.5,0.707528352999622
8,0.752279645637191
8.5,0.794308521925895
9,0.839404828864951
9.5,0.881111371114135
10,0.921747582518966
10.5,0.967260084906453
11,1.00465813434102
11.5,1.03912615470783
12,1.08150464692343
12.5,1.10953584939197
13,1.14100332397788
13.5,1.1672739411292
14,1.1893123508212
14.5,1.2028225560374
15,1.21352802952103
16,0.848993868158779
17,0.803785431878052
18,0.758529593324801
19,0.731639919734279
20,0.729116383054123
21,0.732154933058752
22,0.722603635096029
23,0.751403618010583
24,0.7906626666702
25,0.802445340530817
