alpha,CL
-5,-0.420939213327164
-4,-0.326676579963224
-3,-0.232479386868002
-2,-0.140263013735575
-1,-0.0509508697478289
0,0.0357803992209191
1,0.124995836918563
2,0.215683792877462
3,0.306540757721414
4,0.400634952656464
5,0.493086083147512
6,0.588499447919206
7,0.684374787283074
7.5,0.730976474236037
8,0.776680277864888
8.5,0.818892523822439
9,0.863359344346634
9.5,0.907193479389814
10,0.949959238560063
10.5,0.989800351177476
11,1.02902427529595
11.5,1.06996822347239
12,1.10970394378384
12.5,1.14566584654948
13,1.18001843965642
13.5,1.21067065306769
14,1.22703541247528
14.5,0.890213342354651
15,0.88829819358866
16,0.848479630193061
17,0.767556666075732
18,0.736633444594159
19,0.748789571085337
20,0.740257329987377
21,0.971804647682312
22,1.03473682792342
23,0.936860635655392
24,0.813187198446773
25,0.851762216204626
